Date, GM price
2013-01-22, 28.6300
2013-01-23, 28.5700
2013-01-24, 28.7800
2013-01-25, 29.0700
2013-01-28, 28.8300
2013-01-29, 28.4500
2013-01-30, 27.9400
2013-01-31, 28.0900
2013-02-01, 28.1700
2013-02-04, 27.9600
2013-02-05, 28.5900
2013-02-06, 28.5200
2013-02-07, 28.4700
2013-02-08, 28.5700
2013-02-11, 28.5300
2013-02-12, 28.5500
2013-02-13, 28.6700
2013-02-14, 27.7500
2013-02-15, 27.7600
2013-02-19, 27.6800
2013-02-20, 27.1000
2013-02-21, 26.5100
2013-02-22, 27.1100
2013-02-25, 26.3300
2013-02-26, 26.8300
2013-02-27, 27.4000
2013-02-28, 27.1500
2013-03-01, 27.2100
2013-03-04, 27.0900
2013-03-05, 27.5800
2013-03-06, 27.9100
2013-03-07, 27.8800
2013-03-08, 28.0000
2013-03-11, 28.3100
2013-03-12, 28.3700
2013-03-13, 28.0700
2013-03-14, 28.1600
2013-03-15, 28.2100
2013-03-18, 28.0400
2013-03-19, 28.1000
2013-03-20, 29.2000
2013-03-21, 28.6300
2013-03-22, 28.2200
2013-03-25, 28.1600
2013-03-26, 28.1500
2013-03-27, 28.0600
2013-03-28, 27.8200
2013-04-01, 27.8000
2013-04-02, 27.9300
2013-04-03, 27.8000
2013-04-04, 27.7400
2013-04-05, 27.5200
2013-04-08, 27.5900
2013-04-09, 27.5300
2013-04-10, 28.3700
2013-04-11, 29.7200
2013-04-12, 29.6200
2013-04-15, 28.9100
2013-04-16, 29.4700
2013-04-17, 29.2700
2013-04-18, 28.9800
2013-04-19, 29.1500
2013-04-22, 29.2500
2013-04-23, 29.8500
2013-04-24, 30.4500
2013-04-25, 30.7100
2013-04-26, 30.5000
2013-04-29, 30.7900
2013-04-30, 30.8400
2013-05-01, 30.1800
2013-05-02, 31.1600
2013-05-03, 32.1000
2013-05-06, 31.8200
2013-05-07, 31.6500
2013-05-08, 32.0800
2013-05-09, 31.6500
2013-05-10, 31.4200
2013-05-13, 31.0000
2013-05-14, 31.5500
2013-05-15, 32.3100
2013-05-16, 32.3900
2013-05-17, 33.4200
2013-05-20, 33.7000
2013-05-21, 33.4000
2013-05-22, 33.2300
2013-05-23, 32.8500
2013-05-24, 32.8700
2013-05-28, 33.9600
2013-05-29, 34.0500
2013-05-30, 34.6400
2013-05-31, 33.8900
2013-06-03, 34.4200
2013-06-04, 34.9600
2013-06-05, 34.0200
